ORIGINAL REFERENCE:
Griffin, D. C.A. Woodhouse, D.M. Meko, D.W. Stahle, H.L. Faulstich, C.L. Carrillo, R. Touchan, C.L. Castro and S.W. Leavitt. 2013, North American monsoon precipitation reconstructed from tree-ring latewood. Geophysical Research Letters, doi: 10.1002/grl.50184.

GEOGRAPHIC REGION:
North American Monsoon Experiment Region 2 (American Southwest)

PERIOD OF RECORD:
1539-2008 (monsoon) and 1530-2008 (cool-season)

VARIABLE NAMES: 
Year     (Calendar year)
O-A_Obs  (Observed 7-month SPI ending in April)
O-A_rec  (Reconstructed 7-month SPI ending in April)
JJA_obs  (Observed 3-month SPI ending in August)
JJA_rec  (Reconstructed 3-month SPI ending in August)

VARIABLE UNITS: 
Standardized Precipitation Indices (SPI)

DESCRIPTION: 
Details on the instrumental data, tree ring data, calibration, and verification can be found in the references listed above. This data file prepared by Daniel Griffin, 12 April 2013.

============================================

Year   O-A_obs   O-A_rec   JJA_obs   JJA_rec
1530     -9999     0.562     -9999     -9999
1531     -9999     0.206     -9999     -9999
1532     -9999    -0.710     -9999     -9999
1533     -9999     0.218     -9999     -9999
1534     -9999     0.277     -9999     -9999
1535     -9999     0.100     -9999     -9999
1536     -9999     1.308     -9999     -9999
1537     -9999     0.321     -9999     -9999
1538     -9999    -1.562     -9999     -9999
1539     -9999     0.535     -9999     0.966
1540     -9999     1.353     -9999    -0.277
1541     -9999     0.274     -9999    -0.795
1542     -9999    -2.150     -9999     0.861
1543     -9999     1.293     -9999     0.189
1544     -9999     0.024     -9999     0.287
1545     -9999    -0.711     -9999    -1.373
1546     -9999     0.386     -9999     0.856
1547     -9999     0.001     -9999     1.194
1548     -9999     0.177     -9999    -0.493
1549     -9999     0.320     -9999     0.576
1550     -9999     2.258     -9999     1.089
1551     -9999    -0.224     -9999    -0.653
1552     -9999    -0.381     -9999     0.035
1553     -9999     0.279     -9999     0.651
1554     -9999    -0.007     -9999     0.797
1555     -9999     0.942     -9999     0.846
1556     -9999     0.360     -9999    -0.631
1557     -9999    -0.572     -9999     0.443
1558     -9999     0.179     -9999    -1.016
1559     -9999    -0.722     -9999     0.573
1560     -9999    -0.828     -9999     0.080
1561     -9999     0.489     -9999     0.023
1562     -9999     0.168     -9999     0.184
1563     -9999     0.378     -9999    -0.402
1564     -9999     0.586     -9999     1.276
1565     -9999     0.039     -9999     2.091
1566     -9999    -0.215     -9999    -0.520
1567     -9999     0.265     -9999    -1.181
1568     -9999    -1.205     -9999     0.849
1569     -9999     0.175     -9999    -0.638
1570     -9999    -0.576     -9999    -0.320
1571     -9999    -0.133     -9999     0.840
1572     -9999    -0.186     -9999    -0.859
1573     -9999    -1.406     -9999    -0.253
1574     -9999    -0.399     -9999    -0.888
1575     -9999    -0.180     -9999    -0.481
1576     -9999    -0.074     -9999     0.670
1577     -9999    -0.750     -9999    -0.581
1578     -9999    -0.391     -9999    -0.801
1579     -9999    -0.881     -9999    -0.007
1580     -9999     0.188     -9999     0.940
1581     -9999     0.560     -9999    -0.492
1582     -9999    -0.421     -9999     0.565
1583     -9999    -0.769     -9999     0.455
1584     -9999    -0.221     -9999    -0.501
1585     -9999    -1.751     -9999     0.237
1586     -9999     1.771     -9999    -0.129
1587     -9999    -0.927     -9999     0.040
1588     -9999     1.189     -9999     0.385
1589     -9999     0.335     -9999    -0.268
1590     -9999    -0.562     -9999     0.018
1591     -9999    -0.785     -9999     1.282
1592     -9999     0.036     -9999    -0.759
1593     -9999    -0.561     -9999     0.514
1594     -9999     1.183     -9999     0.003
1595     -9999    -0.605     -9999     1.392
1596     -9999     0.801     -9999    -0.471
