ORIGINAL REFERENCES:
Woodhouse, C.A., and D. Griffin, 2013, Tree-ring insights on New Mexico’s monsoon and Rio Grande streamflow, New Mexico: Earth Matters, New Mexico Bureau of Geology and Mineral Resources. Available online: http://geoinfo.nmt.edu/publications/periodicals/earthmatters/13/EMv13n1.pdf , last accessed 13 April 2013.

Woodhouse, C.A., J.J. Lukas, and D.M. Meko, 2008. Rio Grande at Otowi Bridge NM Reconstruction from TreeFlow: http://treeflow.info/riogr/riograndeotowinatural.html

GEOGRAPHIC REGION:
Rio Grande Flow at Otowi Bridge, Central New Mexico, USA
New Mexico State Climate Division 5, Central New Mexico, USA

PERIOD OF RECORD:
1450-2002 (streamflow) and 1600-2008 (June-August Precipitation)

VARIABLE NAMES: 
Year     (Calendar year)
AF_obs   (Observed Rio Grande Water Year Flow at Otowi Bridge, NM, acre feet)
MCM_obs  (Observed Rio Grande Water Year Flow at Otowi Bridge, NM, million cubic meters)
AF_rec   (Reconstructed Rio Grande Water Year Flow at Otowi Bridge, NM, acre feet)
MCM_rec  (Reconstructed Rio Grande Water Year Flow at Otowi Bridge, NM, million cubic meters)
JJA_obs   (Observed June-August total precipitation, inches)
JJA_rec   (Reconstructed June-August total precipitation, inches)

VARIABLE UNITS: 
Acre feet (water year total flow)
Million cubic meters (water year total flow)
Inches

DESCRIPTION: 
Details on the instrumental data, tree ring data, calibration, and verification can be found in the references listed above. This data file prepared by Daniel Griffin, 13 April 2013.

============================================================================

Year      AF_obs     MCM_obs      AF_rec     MCM_rec     JJA_obs     JJA_rec
1450       -9999       -9999     1301945    1605.926       -9999       -9999
1451       -9999       -9999     2246079    2770.498       -9999       -9999
1452       -9999       -9999     1907385    2352.725       -9999       -9999
1453       -9999       -9999     1835891    2264.538       -9999       -9999
1454       -9999       -9999     1196739    1476.156       -9999       -9999
1455       -9999       -9999      989609    1220.665       -9999       -9999
1456       -9999       -9999     1599688    1973.186       -9999       -9999
1457       -9999       -9999     1500704    1851.091       -9999       -9999
1458       -9999       -9999     2098226    2588.124       -9999       -9999
1459       -9999       -9999     1528985    1885.975       -9999       -9999
1460       -9999       -9999     1117892    1378.899       -9999       -9999
1461       -9999       -9999     1411788    1741.415       -9999       -9999
1462       -9999       -9999     2331488    2875.848       -9999       -9999
1463       -9999       -9999     1819827    2244.724       -9999       -9999
1464       -9999       -9999     1343574    1657.274       -9999       -9999
1465       -9999       -9999     1447083    1784.951       -9999       -9999
1466       -9999       -9999     2226509    2746.358       -9999       -9999
1467       -9999       -9999     2231373    2752.358       -9999       -9999
1468       -9999       -9999     1911232    2357.470       -9999       -9999
1469       -9999       -9999     1559981    1924.208       -9999       -9999
1470       -9999       -9999     1901729    2345.748       -9999       -9999
1471       -9999       -9999     1199002    1478.947       -9999       -9999
1472       -9999       -9999     1411901    1741.554       -9999       -9999
1473       -9999       -9999     1618014    1995.791       -9999       -9999
1474       -9999       -9999     1659643    2047.140       -9999       -9999
1475       -9999       -9999     1059859    1307.317       -9999       -9999
1476       -9999       -9999     2279790    2812.080       -9999       -9999
1477       -9999       -9999     2043700    2520.867       -9999       -9999
1478       -9999       -9999     2128996    2626.078       -9999       -9999
1479       -9999       -9999     1513487    1866.859       -9999       -9999
1480       -9999       -9999     1142779    1409.597       -9999       -9999
1481       -9999       -9999     1581248    1950.441       -9999       -9999
1482       -9999       -9999     1795732    2215.003       -9999       -9999
1483       -9999       -9999     1514958    1868.673       -9999       -9999
1484       -9999       -9999     2921431    3603.532       -9999       -9999
1485       -9999       -9999     2475495    3053.478       -9999       -9999
1486       -9999       -9999     2402530    2963.477       -9999       -9999
1487       -9999       -9999     1678535    2070.442       -9999       -9999
1488       -9999       -9999     1853765    2286.585       -9999       -9999
1489       -9999       -9999     1940983    2394.167       -9999       -9999
1490       -9999       -9999     2336465    2881.987       -9999       -9999
1491       -9999       -9999     2683191    3309.667       -9999       -9999
1492       -9999       -9999     1755799    2165.746       -9999       -9999
1493       -9999       -9999     1372874    1693.415       -9999       -9999
1494       -9999       -9999     2364860    2917.012       -9999       -9999
1495       -9999       -9999      677499     835.683       -9999       -9999
1496       -9999       -9999      951034    1173.083       -9999       -9999
1497       -9999       -9999     1827407    2254.073       -9999       -9999
1498       -9999       -9999     2597104    3203.481       -9999       -9999
1499       -9999       -9999     1436789    1772.253       -9999       -9999
1500       -9999       -9999      682024     841.264       -9999       -9999
1501       -9999       -9999     1654213    2040.442       -9999       -9999
1502       -9999       -9999     1866661    2302.492       -9999       -9999
1503       -9999       -9999     1858855    2292.864       -9999       -9999
