ORIGINAL REFERENCES:
Woodhouse, C.A., D.M. Meko, D. Griffin, and C.L. Castro. 2013. Tree rings reveal multi-season drought variability in the lower Rio Grand basin, USA. Water Resources Research, doi: 10.1002/wrcr.20098.

Woodhouse, C.A., D.W. Stahle, and J. Villanueva-Díaz. 2012. Rio Grande and Rio Conchos water supply variability from instrumental and paleoclimatic records. Climate Research 51, 125-136. doi: 10.3354/cr01059


GEOGRAPHIC REGION:
Southern New Mexico, USA (precipitation reconstruction)
Southern Colorado, USA (streamflow reconstruction)

PERIOD OF RECORD:
1659-2008 (precipitation) and 1508-2002 (streamflow)

VARIABLE NAMES: 
Year     (Calendar year)
AF_obs   (Observed Rio Grande Water Year Flow at Del Norte, CO, acre feet)
CMS_obs  (Observed Rio Grande Water Year Flow at Del Norte, CO, cubic meters per second)
AF_rec   (Reconstructed Rio Grande Water Year Flow at Del Norte, CO, acre feet)
CMS_rec  (Reconstructed Rio Grande Water Year Flow at Del Norte, CO, cubic meters per second)
JJ_obs   (Observed June-July total precipitation, millimeters)
JJ_rec   (Reconstructed June-July total precipitation, millimeters)

VARIABLE UNITS: 
Acre feet (water year total flow)
Cubic meters per second (mean water year flow)
Millimeters

DESCRIPTION: 
Details on the instrumental data, tree ring data, calibration, and verification can be found in the references listed above. This data file prepared by Daniel Griffin, 12 April 2013.

================================================================
Year    AF_obs    CMS_obs   AF_rec    CMS_rec   JJ_obs    JJ_rec
1508     -9999     -9999    725197    28.346     -9999     -9999
1509     -9999     -9999    886801    34.663     -9999     -9999
1510     -9999     -9999    544436    21.281     -9999     -9999
1511     -9999     -9999    630517    24.645     -9999     -9999
1512     -9999     -9999    766075    29.944     -9999     -9999
1513     -9999     -9999    674767    26.375     -9999     -9999
1514     -9999     -9999    837170    32.723     -9999     -9999
1515     -9999     -9999    485121    18.962     -9999     -9999
1516     -9999     -9999    496802    19.419     -9999     -9999
1517     -9999     -9999    649025    25.369     -9999     -9999
1518     -9999     -9999    701351    27.414     -9999     -9999
1519     -9999     -9999    600412    23.469     -9999     -9999
1520     -9999     -9999    662286    25.887     -9999     -9999
1521     -9999     -9999   1055298    41.249     -9999     -9999
1522     -9999     -9999    358090    13.997     -9999     -9999
1523     -9999     -9999    808475    31.601     -9999     -9999
1524     -9999     -9999    743500    29.062     -9999     -9999
1525     -9999     -9999    635133    24.826     -9999     -9999
1526     -9999     -9999    887515    34.691     -9999     -9999
1527     -9999     -9999    583618    22.812     -9999     -9999
1528     -9999     -9999    473176    18.495     -9999     -9999
1529     -9999     -9999    687286    26.864     -9999     -9999
1530     -9999     -9999    627511    24.528     -9999     -9999
1531     -9999     -9999    546349    21.355     -9999     -9999
1532     -9999     -9999    371485    14.520     -9999     -9999
1533     -9999     -9999    716621    28.011     -9999     -9999
1534     -9999     -9999    595974    23.295     -9999     -9999
1535     -9999     -9999    766034    29.942     -9999     -9999
1536     -9999     -9999    860790    33.646     -9999     -9999
1537     -9999     -9999    618386    24.171     -9999     -9999
