Mexico Division 5 Precipitation, approximating Rio Conchos headwaters region
Div5OJulrecn = reconstructed total October-July precipitation
Div5OJulobs = observed total October-July precipitation (observed from A.V. Douglas)
units = mm
no data flag = -9999

Full reference: Woodhouse, C.A., D.W. Stahle, and J. Villanueva-D’az. 2012. Rio Grande and Rio Conchos water supply variability from instrumental and paleoclimatic records. Climate Research.51, 125-136. doi: 10.3354/cr01059
*paper states the latewood predictor is the average of 4 chronologies; it is the average of 5

yr      Div5OJulrec Div5OJulobs
1649          241.0      -9999
1650          299.9      -9999
1651          426.3      -9999
1652          271.8      -9999
1653          126.4      -9999
1654          262.5      -9999
1655          338.8      -9999
1656          338.1      -9999
1657          262.4      -9999
1658          342.1      -9999
1659          334.9      -9999
1660          303.9      -9999
1661          344.9      -9999
1662          306.0      -9999
1663          290.1      -9999
1664          230.0      -9999
1665          401.8      -9999
1666          271.8      -9999
1667          233.5      -9999
1668          209.6      -9999
1669          324.6      -9999
1670          315.9      -9999
1671          355.6      -9999
1672          213.3      -9999
1673          258.9      -9999
1674          331.8      -9999
1675          232.8      -9999
1676          265.9      -9999
1677          338.6      -9999
1678          294.3      -9999
1679          273.8      -9999
1680          425.1      -9999
1681          301.6      -9999
1682          319.8      -9999
1683          334.1      -9999
1684          287.7      -9999
1685          265.3      -9999
1686          374.1      -9999
1687          422.8      -9999
1688          307.4      -9999
1689          322.8      -9999
1690          404.5      -9999
1691          329.3      -9999
1692          312.5      -9999
1693          365.7      -9999
1694          304.3      -9999
1695          311.2      -9999
1696          164.4      -9999
1697          315.5      -9999
1698          228.2      -9999
1699          286.6      -9999
1700          331.6      -9999
1701          369.3      -9999
1702          257.1      -9999
1703          298.3      -9999
1704          259.5      -9999
1705          245.8      -9999
1706          373.5      -9999
1707          311.7      -9999
1708          264.9      -9999
1709          318.1      -9999
1710          332.7      -9999
1711          268.8      -9999
1712          294.1      -9999
1713          293.3      -9999
1714          387.0      -9999
1715          263.7      -9999
1716          235.9      -9999
1717          359.7      -9999
1718          308.3      -9999
1719          327.8      -9999
1720          357.0      -9999
1721          355.0      -9999
1722          359.7      -9999
1723          327.3      -9999
1724          250.0      -9999
1725          272.2      -9999
1726          420.0      -9999
1727          378.6      -9999
1728          309.8      -9999
1729          283.6      -9999
1730          261.4      -9999
1731          275.0      -9999
1732          291.0      -9999
1733          248.9      -9999
1734          291.7      -9999
1735          283.5      -9999
1736          320.4      -9999
1737          335.3      -9999
1738          396.2      -9999
1739          236.6      -9999
1740          232.0      -9999
1741          307.9      -9999
1742          166.3      -9999
1743          300.4      -9999
1744          373.6      -9999
1745          296.5      -9999
1746          443.1      -9999
1747          376.3      -9999
1748          201.9      -9999
1749          328.2      -9999
1750          325.6      -9999
1751          385.7      -9999
1752          211.8      -9999
1753          266.4      -9999
1754          238.6      -9999
1755          239.0      -9999
1756          379.7      -9999
1757          337.0      -9999
1758          297.8      -9999
1759          268.5      -9999
1760          254.7      -9999
1761          254.9      -9999
1762          272.8      -9999
1763          188.0      -9999
1764          304.5      -9999
1765          329.7      -9999
1766          281.7      -9999
1767          324.3      -9999
1768          235.9      -9999
1769          401.0      -9999
1770          333.9      -9999
1771          294.0      -9999
1772          199.0      -9999
1773          229.7      -9999
1774          277.0      -9999
1775          250.4      -9999
1776          294.9      -9999
1777          317.8      -9999
1778          262.5      -9999
1779          313.0      -9999
1780          302.9      -9999
1781          296.3      -9999
1782          300.3      -9999
1783          323.8      -9999
1784          372.9      -9999
1785          229.0      -9999
1786          262.7      -9999
1787          280.8      -9999
1788          414.4      -9999
1789          172.7      -9999
1790          234.9      -9999
1791          437.0      -9999
1792          384.9      -9999
1793          387.7      -9999
1794          323.0      -9999
1795          308.8      -9999
1796          401.1      -9999
1797          281.3      -9999
1798          196.2      -9999
1799          310.7      -9999
1800          363.1      -9999
1801          202.5      -9999
1802          295.0      -9999
1803          315.2      -9999
1804          288.7      -9999
1805          192.5      -9999
1806          369.5      -9999
1807          363.2      -9999
1808          219.8      -9999
1809          325.1      -9999
1810          300.5      -9999
1811          311.2      -9999
1812          281.4      -9999
1813          321.2      -9999
1814          368.3      -9999
1815          395.7      -9999
1816          462.7      -9999
1817          302.7      -9999
1818          302.1      -9999
1819          272.8      -9999
1820          223.6      -9999
1821          240.9      -9999
1822          338.7      -9999
1823          333.1      -9999
1824          331.3      -9999
1825          262.7      -9999
1826          257.7      -9999
1827          417.1      -9999
1828          287.5      -9999
1829          373.6      -9999
1830          300.5      -9999
1831          243.2      -9999
1832          286.0      -9999
1833          390.7      -9999
1834          305.4      -9999
1835          329.1      -9999
1836          258.0      -9999
1837          357.3      -9999
1838          244.6      -9999
1839          377.4      -9999
1840          296.9      -9999
1841          242.6      -9999
1842          266.9      -9999
1843          279.7      -9999
1844          356.6      -9999
1845          352.7      -9999
1846          324.7      -9999
1847          284.9      -9999
1848          320.3      -9999
1849          281.0      -9999
1850          308.5      -9999
1851          276.9      -9999
1852          421.6      -9999
1853          290.9      -9999
1854          270.5      -9999
1855          235.6      -9999
1856          414.7      -9999
1857          200.4      -9999
1858          360.9      -9999
1859          290.0      -9999
1860          172.9      -9999
1861          339.1      -9999
1862          247.0      -9999
1863          242.3      -9999
1864          324.8      -9999
1865          248.1      -9999
1866          299.6      -9999
1867          248.7      -9999
1868          270.9      -9999
1869          432.2      -9999
1870          327.1      -9999
1871          286.0      -9999
1872          299.1      -9999
1873          277.7      -9999
1874          336.5      -9999
1875          372.4      -9999
1876          297.5      -9999
1877          278.9      -9999
1878          308.0      -9999
1879          244.9      -9999
1880          276.0      -9999
1881          335.4      -9999
1882          354.3      -9999
1883          271.9      -9999
1884          234.7      -9999
1885          315.4      -9999
1886          275.2      -9999
1887          206.9      -9999
1888          409.4      -9999
1889          361.1      -9999
1890          244.8      -9999
